file,line,symbols,function,match_kind,classification,purpose,file_sha256
backend/account_balance_diagnostic_iter246i.py,5,current_balance,<module/JS source>,exact_symbol,legacy_unrelated,Existing general-ledger/account diagnostic or legacy reconciliation; preserve,08c593121d3855de5a457297acdd3e1bf8a67c5a882c93d3329ba1ab75aacf8f
backend/account_balance_diagnostic_iter246i.py,6,account_balance_ssot,<module/JS source>,exact_symbol,legacy_unrelated,Existing general-ledger/account diagnostic or legacy reconciliation; preserve,08c593121d3855de5a457297acdd3e1bf8a67c5a882c93d3329ba1ab75aacf8f
backend/account_balance_diagnostic_iter246i.py,9,compute_balance,<module/JS source>,exact_symbol,legacy_unrelated,Existing general-ledger/account diagnostic or legacy reconciliation; preserve,08c593121d3855de5a457297acdd3e1bf8a67c5a882c93d3329ba1ab75aacf8f
backend/account_balance_diagnostic_iter246i.py,36,current_balance,account_balance_audit,exact_symbol,legacy_unrelated,Existing general-ledger/account diagnostic or legacy reconciliation; preserve,08c593121d3855de5a457297acdd3e1bf8a67c5a882c93d3329ba1ab75aacf8f
backend/account_balance_diagnostic_iter246i.py,42,account_balance_ssot,account_balance_audit,exact_symbol,legacy_unrelated,Existing general-ledger/account diagnostic or legacy reconciliation; preserve,08c593121d3855de5a457297acdd3e1bf8a67c5a882c93d3329ba1ab75aacf8f
backend/account_balance_diagnostic_iter246i.py,44,account_balance_ssot,account_balance_audit,exact_symbol,legacy_unrelated,Existing general-ledger/account diagnostic or legacy reconciliation; preserve,08c593121d3855de5a457297acdd3e1bf8a67c5a882c93d3329ba1ab75aacf8f
backend/account_balance_diagnostic_iter246i.py,46,compute_balance,account_balance_audit,exact_symbol,legacy_unrelated,Existing general-ledger/account diagnostic or legacy reconciliation; preserve,08c593121d3855de5a457297acdd3e1bf8a67c5a882c93d3329ba1ab75aacf8f
backend/account_balance_diagnostic_iter246i.py,48,compute_balance,account_balance_audit,exact_symbol,legacy_unrelated,Existing general-ledger/account diagnostic or legacy reconciliation; preserve,08c593121d3855de5a457297acdd3e1bf8a67c5a882c93d3329ba1ab75aacf8f
backend/account_balance_diagnostic_iter246i.py,53,current_balance,account_balance_audit,exact_symbol,legacy_unrelated,Existing general-ledger/account diagnostic or legacy reconciliation; preserve,08c593121d3855de5a457297acdd3e1bf8a67c5a882c93d3329ba1ab75aacf8f
backend/account_balance_diagnostic_iter246i.py,55,account_balance_ssot,account_balance_audit,exact_symbol,legacy_unrelated,Existing general-ledger/account diagnostic or legacy reconciliation; preserve,08c593121d3855de5a457297acdd3e1bf8a67c5a882c93d3329ba1ab75aacf8f
backend/account_balance_diagnostic_iter246i.py,57,account_balance_ssot,account_balance_audit,exact_symbol,legacy_unrelated,Existing general-ledger/account diagnostic or legacy reconciliation; preserve,08c593121d3855de5a457297acdd3e1bf8a67c5a882c93d3329ba1ab75aacf8f
backend/account_balance_diagnostic_iter246i.py,62,compute_balance,account_balance_audit,exact_symbol,legacy_unrelated,Existing general-ledger/account diagnostic or legacy reconciliation; preserve,08c593121d3855de5a457297acdd3e1bf8a67c5a882c93d3329ba1ab75aacf8f
backend/account_balance_diagnostic_iter246i.py,64,compute_balance,account_balance_audit,exact_symbol,legacy_unrelated,Existing general-ledger/account diagnostic or legacy reconciliation; preserve,08c593121d3855de5a457297acdd3e1bf8a67c5a882c93d3329ba1ab75aacf8f
backend/account_balance_diagnostic_iter246i.py,105,account_balance_ssot,account_balance_audit,exact_symbol,legacy_unrelated,Existing general-ledger/account diagnostic or legacy reconciliation; preserve,08c593121d3855de5a457297acdd3e1bf8a67c5a882c93d3329ba1ab75aacf8f
